day,time,event,probability,duration,flow_rate,sigma_duration,sigma_flow_rate
5,00:00:00,shower,0.010,300,0.133,120,0.033
5,00:00:00,sink,0.020,60,0.067,20,0.015
5,00:00:00,bath,0.005,600,0.200,180,0.050
5,08:00:00,shower,0.120,300,0.133,120,0.033
5,08:00:00,sink,0.100,60,0.067,20,0.015
5,08:00:00,bath,0.025,600,0.200,180,0.050
5,12:00:00,shower,0.030,300,0.133,120,0.033
5,12:00:00,sink,0.090,60,0.067,20,0.015
5,12:00:00,bath,0.010,600,0.200,180,0.050
5,18:00:00,shower,0.050,300,0.133,120,0.033
5,18:00:00,sink,0.110,60,0.067,20,0.015
5,18:00:00,bath,0.020,600,0.200,180,0.050
6,00:00:00,shower,0.010,300,0.133,120,0.033
6,00:00:00,sink,0.020,60,0.067,20,0.015
6,00:00:00,bath,0.005,600,0.200,180,0.050
6,08:00:00,shower,0.120,300,0.133,120,0.033
6,08:00:00,sink,0.100,60,0.067,20,0.015
6,08:00:00,bath,0.025,600,0.200,180,0.050
6,12:00:00,shower,0.030,300,0.133,120,0.033
6,12:00:00,sink,0.090,60,0.067,20,0.015
6,12:00:00,bath,0.010,600,0.200,180,0.050
6,18:00:00,shower,0.050,300,0.133,120,0.033
6,18:00:00,sink,0.110,60,0.067,20,0.015
6,18:00:00,bath,0.020,600,0.200,180,0.050
