day_of_week,time,event,probability,duration[s],flow_rate[l s-1],duration_sigma[s],flow_rate_sigma[l s-1],probability_day
0,00:00,Shower,0.008,300,0.13333,120,0.03333,0.9
0,00:12,Shower,0.008,300,0.13333,120,0.03333,0.9
0,00:24,Shower,0.008,300,0.13333,120,0.03333,0.9
0,00:36,Shower,0.008,300,0.13333,120,0.03333,0.9
0,00:48,Shower,0.008,300,0.13333,120,0.03333,0.9
0,01:00,Shower,0.008,300,0.13333,120,0.03333,0.9
0,01:11,Shower,0.008,300,0.13333,120,0.03333,0.9
0,01:23,Shower,0.008,300,0.13333,120,0.03333,0.9
0,01:36,Shower,0.008,300,0.13333,120,0.03333,0.9
0,01:48,Shower,0.008,300,0.13333,120,0.03333,0.9
0,02:00,Shower,0.008,300,0.13333,120,0.03333,0.9
0,02:12,Shower,0.008,300,0.13333,120,0.03333,0.9
0,02:23,Shower,0.008,300,0.13333,120,0.03333,0.9
0,02:36,Shower,0.008,300,0.13333,120,0.03333,0.9
0,02:47,Shower,0.008,300,0.13333,120,0.03333,0.9
0,03:00,Shower,0.008,300,0.13333,120,0.03333,0.9
0,03:12,Shower,0.008,300,0.13333,120,0.03333,0.9
0,03:23,Shower,0.008,300,0.13333,120,0.03333,0.9
0,03:36,Shower,0.008,300,0.13333,120,0.03333,0.9
0,03:47,Shower,0.008,300,0.13333,120,0.03333,0.9
0,04:00,Shower,0.008,300,0.13333,120,0.03333,0.9
0,04:12,Shower,0.008,300,0.13333,120,0.03333,0.9
0,04:24,Shower,0.008,300,0.13333,120,0.03333,0.9
0,04:35,Shower,0.008,300,0.13333,120,0.03333,0.9
0,04:47,Shower,0.01008,300,0.13333,120,0.03333,0.9
0,05:00,Shower,0.01696,300,0.13333,120,0.03333,0.9
0,05:12,Shower,0.02704,300,0.13333,120,0.03333,0.9
0,05:24,Shower,0.0412,300,0.13333,120,0.03333,0.9
0,05:35,Shower,0.05968,300,0.13333,120,0.03333,0.9
0,05:47,Shower,0.08224,300,0.13333,120,0.03333,0.9
0,06:00,Shower,0.10792,300,0.13333,120,0.03333,0.9
0,06:12,Shower,0.13472,300,0.13333,120,0.03333,0.9
0,06:24,Shower,0.16016,300,0.13333,120,0.03333,0.9
0,06:35,Shower,0.1812,300,0.13333,120,0.03333,0.9
0,06:47,Shower,0.19512,300,0.13333,120,0.03333,0.9
0,07:00,Shower,0.2,300,0.13333,120,0.03333,0.9
0,07:12,Shower,0.19512,300,0.13333,120,0.03333,0.9
0,07:24,Shower,0.1812,300,0.13333,120,0.03333,0.9
0,07:35,Shower,0.16016,300,0.13333,120,0.03333,0.9
0,07:47,Shower,0.13472,300,0.13333,120,0.03333,0.9
0,08:00,Shower,0.10792,300,0.13333,120,0.03333,0.9
0,08:11,Shower,0.08224,300,0.13333,120,0.03333,0.9
0,08:24,Shower,0.05968,300,0.13333,120,0.03333,0.9
0,08:35,Shower,0.0412,300,0.13333,120,0.03333,0.9
0,08:48,Shower,0.02704,300,0.13333,120,0.03333,0.9
0,09:00,Shower,0.01696,300,0.13333,120,0.03333,0.9
0,09:11,Shower,0.01592,300,0.13333,120,0.03333,0.9
0,09:24,Shower,0.01624,300,0.13333,120,0.03333,0.9
0,09:35,Shower,0.01664,300,0.13333,120,0.03333,0.9
0,09:48,Shower,0.01696,300,0.13333,120,0.03333,0.9
0,10:00,Shower,0.01728,300,0.13333,120,0.03333,0.9
0,10:11,Shower,0.0176,300,0.13333,120,0.03333,0.9
0,10:24,Shower,0.01784,300,0.13333,120,0.03333,0.9
0,10:35,Shower,0.01816,300,0.13333,120,0.03333,0.9
0,10:48,Shower,0.0184,300,0.13333,120,0.03333,0.9
0,11:00,Shower,0.01864,300,0.13333,120,0.03333,0.9
0,11:11,Shower,0.01888,300,0.13333,120,0.03333,0.9
0,11:24,Shower,0.01904,300,0.13333,120,0.03333,0.9
0,11:35,Shower,0.01928,300,0.13333,120,0.03333,0.9
0,11:48,Shower,0.01944,300,0.13333,120,0.03333,0.9
0,12:00,Shower,0.0196,300,0.13333,120,0.03333,0.9
0,12:11,Shower,0.01968,300,0.13333,120,0.03333,0.9
0,12:24,Shower,0.01984,300,0.13333,120,0.03333,0.9
0,12:35,Shower,0.01992,300,0.13333,120,0.03333,0.9
0,12:48,Shower,0.01992,300,0.13333,120,0.03333,0.9
0,13:00,Shower,0.02,300,0.13333,120,0.03333,0.9
0,13:11,Shower,0.02,300,0.13333,120,0.03333,0.9
0,13:24,Shower,0.02,300,0.13333,120,0.03333,0.9
0,13:35,Shower,0.02,300,0.13333,120,0.03333,0.9
0,13:48,Shower,0.01992,300,0.13333,120,0.03333,0.9
0,14:00,Shower,0.01984,300,0.13333,120,0.03333,0.9
0,14:11,Shower,0.01976,300,0.13333,120,0.03333,0.9
0,14:24,Shower,0.0196,300,0.13333,120,0.03333,0.9
0,14:35,Shower,0.01952,300,0.13333,120,0.03333,0.9
0,14:48,Shower,0.01936,300,0.13333,120,0.03333,0.9
0,15:00,Shower,0.0192,300,0.13333,120,0.03333,0.9
0,15:11,Shower,0.01896,300,0.13333,120,0.03333,0.9
0,15:24,Shower,0.01872,300,0.13333,120,0.03333,0.9
0,15:35,Shower,0.01856,300,0.13333,120,0.03333,0.9
0,15:48,Shower,0.01824,300,0.13333,120,0.03333,0.9
0,16:00,Shower,0.018,300,0.13333,120,0.03333,0.9
0,16:11,Shower,0.01776,300,0.13333,120,0.03333,0.9
0,16:23,Shower,0.01744,300,0.13333,120,0.03333,0.9
0,16:36,Shower,0.01712,300,0.13333,120,0.03333,0.9
0,16:48,Shower,0.0168,300,0.13333,120,0.03333,0.9
0,17:00,Shower,0.01648,300,0.13333,120,0.03333,0.9
0,17:11,Shower,0.01608,300,0.13333,120,0.03333,0.9
0,17:23,Shower,0.01728,300,0.13333,120,0.03333,0.9
0,17:36,Shower,0.02288,300,0.13333,120,0.03333,0.9
0,17:48,Shower,0.02936,300,0.13333,120,0.03333,0.9
0,18:00,Shower,0.03664,300,0.13333,120,0.03333,0.9
0,18:11,Shower,0.04448,300,0.13333,120,0.03333,0.9
0,18:23,Shower,0.05256,300,0.13333,120,0.03333,0.9
0,18:36,Shower,0.0604,300,0.13333,120,0.03333,0.9
0,18:48,Shower,0.06752,300,0.13333,120,0.03333,0.9
0,19:00,Shower,0.07336,300,0.13333,120,0.03333,0.9
0,19:11,Shower,0.07752,300,0.13333,120,0.03333,0.9
0,19:23,Shower,0.07976,300,0.13333,120,0.03333,0.9
0,19:36,Shower,0.07976,300,0.13333,120,0.03333,0.9
0,19:48,Shower,0.07752,300,0.13333,120,0.03333,0.9
0,20:00,Shower,0.07336,300,0.13333,120,0.03333,0.9
0,20:11,Shower,0.06752,300,0.13333,120,0.03333,0.9
0,20:23,Shower,0.0604,300,0.13333,120,0.03333,0.9
0,20:36,Shower,0.05256,300,0.13333,120,0.03333,0.9
0,20:48,Shower,0.04448,300,0.13333,120,0.03333,0.9
0,21:00,Shower,0.03664,300,0.13333,120,0.03333,0.9
0,21:11,Shower,0.02936,300,0.13333,120,0.03333,0.9
0,21:23,Shower,0.02288,300,0.13333,120,0.03333,0.9
0,21:36,Shower,0.01728,300,0.13333,120,0.03333,0.9
0,21:48,Shower,0.01272,300,0.13333,120,0.03333,0.9
0,22:00,Shower,0.00912,300,0.13333,120,0.03333,0.9
0,22:11,Shower,0.008,300,0.13333,120,0.03333,0.9
0,22:23,Shower,0.008,300,0.13333,120,0.03333,0.9
0,22:36,Shower,0.008,300,0.13333,120,0.03333,0.9
0,22:48,Shower,0.008,300,0.13333,120,0.03333,0.9
0,23:00,Shower,0.008,300,0.13333,120,0.03333,0.9
0,23:11,Shower,0.008,300,0.13333,120,0.03333,0.9
0,23:23,Shower,0.008,300,0.13333,120,0.03333,0.9
0,23:36,Shower,0.008,300,0.13333,120,0.03333,0.9
0,23:48,Shower,0.008,300,0.13333,120,0.03333,0.9
0,00:00,Bath,0.005,600,0.23333,120,0.03333,0.5
0,00:12,Bath,0.005,600,0.23333,120,0.03333,0.5
0,00:24,Bath,0.005,600,0.23333,120,0.03333,0.5
0,00:36,Bath,0.005,600,0.23333,120,0.03333,0.5
0,00:48,Bath,0.005,600,0.23333,120,0.03333,0.5
0,01:00,Bath,0.005,600,0.23333,120,0.03333,0.5
0,01:11,Bath,0.005,600,0.23333,120,0.03333,0.5
0,01:23,Bath,0.005,600,0.23333,120,0.03333,0.5
0,01:36,Bath,0.005,600,0.23333,120,0.03333,0.5
0,01:48,Bath,0.005,600,0.23333,120,0.03333,0.5
0,02:00,Bath,0.005,600,0.23333,120,0.03333,0.5
0,02:12,Bath,0.005,600,0.23333,120,0.03333,0.5
0,02:23,Bath,0.005,600,0.23333,120,0.03333,0.5
0,02:36,Bath,0.005,600,0.23333,120,0.03333,0.5
0,02:47,Bath,0.005,600,0.23333,120,0.03333,0.5
0,03:00,Bath,0.005,600,0.23333,120,0.03333,0.5
0,03:12,Bath,0.005,600,0.23333,120,0.03333,0.5
0,03:23,Bath,0.005,600,0.23333,120,0.03333,0.5
0,03:36,Bath,0.005,600,0.23333,120,0.03333,0.5
0,03:47,Bath,0.005,600,0.23333,120,0.03333,0.5
0,04:00,Bath,0.005,600,0.23333,120,0.03333,0.5
0,04:12,Bath,0.005,600,0.23333,120,0.03333,0.5
0,04:24,Bath,0.005,600,0.23333,120,0.03333,0.5
0,04:35,Bath,0.005,600,0.23333,120,0.03333,0.5
0,04:47,Bath,0.005,600,0.23333,120,0.03333,0.5
0,05:00,Bath,0.005,600,0.23333,120,0.03333,0.5
0,05:12,Bath,0.005,600,0.23333,120,0.03333,0.5
0,05:24,Bath,0.005,600,0.23333,120,0.03333,0.5
0,05:35,Bath,0.005,600,0.23333,120,0.03333,0.5
0,05:47,Bath,0.005,600,0.23333,120,0.03333,0.5
0,06:00,Bath,0.005,600,0.23333,120,0.03333,0.5
0,06:12,Bath,0.005,600,0.23333,120,0.03333,0.5
0,06:24,Bath,0.005,600,0.23333,120,0.03333,0.5
0,06:35,Bath,0.005,600,0.23333,120,0.03333,0.5
0,06:47,Bath,0.005,600,0.23333,120,0.03333,0.5
0,07:00,Bath,0.005,600,0.23333,120,0.03333,0.5
0,07:12,Bath,0.005,600,0.23333,120,0.03333,0.5
0,07:24,Bath,0.005,600,0.23333,120,0.03333,0.5
0,07:35,Bath,0.00545,600,0.23333,120,0.03333,0.5
0,07:47,Bath,0.0059,600,0.23333,120,0.03333,0.5
0,08:00,Bath,0.0064,600,0.23333,120,0.03333,0.5
0,08:11,Bath,0.0069,600,0.23333,120,0.03333,0.5
0,08:24,Bath,0.00745,600,0.23333,120,0.03333,0.5
0,08:35,Bath,0.008,600,0.23333,120,0.03333,0.5
0,08:48,Bath,0.0086,600,0.23333,120,0.03333,0.5
0,09:00,Bath,0.00925,600,0.23333,120,0.03333,0.5
0,09:11,Bath,0.0099,600,0.23333,120,0.03333,0.5
