datetime,residential,office,commercial,industrial,367791,31991682,31991685
2021-12-31 23:00:00+00:00,155,102.4,380.9,845.4,138,146,153
2022-01-01 00:00:00+00:00,148.7,114.4,434.4,826.1,142.7,168.7,164.7
2022-01-01 01:00:00+00:00,156.5,82.8,334.6,783.2,138.5,150.5,151.5
2022-01-01 02:00:00+00:00,165.3,133.9,342.5,832.1,168.3,184.3,168.3
2022-01-01 03:00:00+00:00,147.8,59.1,385.1,883.3,144.8,159.8,132.8
2022-01-01 04:00:00+00:00,147.8,129.1,331.7,812.5,165.8,166.8,135.8
2022-01-01 05:00:00+00:00,166,99.1,305,856.8,159,184,163
2022-01-01 06:00:00+00:00,157.9,120.1,700,834.1,175.9,142.9,141.9
2022-01-01 07:00:00+00:00,145.6,107.3,752.7,788.2,130.6,128.6,148.6
2022-01-01 08:00:00+00:00,155.7,539,725.3,807.9,152.7,162.7,166.7
2022-01-01 09:00:00+00:00,145.7,481.2,638.3,821.1,154.7,143.7,125.7
2022-01-01 10:00:00+00:00,145.7,578.4,737,770.2,153.7,127.7,132.7
2022-01-01 11:00:00+00:00,152.9,460.6,717.3,700,156.9,167.9,156.9
2022-01-01 12:00:00+00:00,131.3,532.8,742.8,766.6,145.3,125.3,150.3
2022-01-01 13:00:00+00:00,133.3,571.7,692.7,713.7,130.3,125.3,118.3
2022-01-01 14:00:00+00:00,144.9,431.1,756.8,769.9,144.9,164.9,151.9
2022-01-01 15:00:00+00:00,140.4,482.8,695.7,731.7,155.4,137.4,122.4
2022-01-01 16:00:00+00:00,153.8,557.1,750.7,835.2,142.8,162.8,170.8
2022-01-01 17:00:00+00:00,141.6,557.9,668,752.7,137.6,155.6,141.6
2022-01-01 18:00:00+00:00,136.6,491.4,672.9,821.8,150.6,147.6,142.6
2022-01-01 19:00:00+00:00,165.4,117.9,742.1,830.7,148.4,152.4,167.4
2022-01-01 20:00:00+00:00,148.5,86.6,676.8,828.1,160.5,147.5,152.5
2022-01-01 21:00:00+00:00,151.5,135,800,725.3,138.5,148.5,144.5
2022-01-01 22:00:00+00:00,136.6,98.3,739.7,844.9,132.6,128.6,122.6
2022-01-01 23:00:00+00:00,145.4,69.2,393.7,816.8,139.4,153.4,143.4
2022-01-02 00:00:00+00:00,152,76.1,391.5,832.2,160,146,151
2022-01-02 01:00:00+00:00,139.4,100.9,396.4,873.2,144.4,144.4,155.4
2022-01-02 02:00:00+00:00,154.7,102.8,405.4,831.8,163.7,160.7,165.7
2022-01-02 03:00:00+00:00,145,139.4,463.4,752.7,133,164,136
2022-01-02 04:00:00+00:00,148.1,79.2,453.6,826.1,147.1,134.1,147.1
2022-01-02 05:00:00+00:00,145.1,100.8,437.6,739.9,161.1,163.1,133.1
2022-01-02 06:00:00+00:00,169.6,78.8,614.4,797.5,173.6,162.6,163.6
2022-01-02 07:00:00+00:00,151,90.1,657.3,779.9,134,145,136
2022-01-02 08:00:00+00:00,140.6,486.2,680.3,800.4,124.6,149.6,134.6
2022-01-02 09:00:00+00:00,159.4,442.1,800,739.6,164.4,146.4,145.4
2022-01-02 10:00:00+00:00,139,409.2,800,744.2,140,159,125
2022-01-02 11:00:00+00:00,153.4,474.3,724.1,782,166.4,139.4,134.4
2022-01-02 12:00:00+00:00,131.7,544.9,700.7,791.1,119.7,131.7,147.7
2022-01-02 13:00:00+00:00,138.1,562.8,675.5,783,120.1,135.1,143.1
2022-01-02 14:00:00+00:00,153.4,559.4,757.7,858,137.4,161.4,163.4
2022-01-02 15:00:00+00:00,158.8,459.2,800,816.9,155.8,149.8,169.8
2022-01-02 16:00:00+00:00,153.2,442.3,800,815.8,173.2,149.2,164.2
2022-01-02 17:00:00+00:00,150.3,524.8,779.7,784.7,138.3,167.3,135.3
2022-01-02 18:00:00+00:00,148.5,531.8,778.6,744.3,166.5,166.5,128.5
2022-01-02 19:00:00+00:00,136.8,92,758.3,799.8,121.8,143.8,136.8
2022-01-02 20:00:00+00:00,144.4,108,696.7,872.3,163.4,156.4,132.4
2022-01-02 21:00:00+00:00,147,128.6,648.4,809,162,165,142
2022-01-02 22:00:00+00:00,162.3,90.8,698.5,844.5,161.3,146.3,153.3
2022-01-02 23:00:00+00:00,155.2,72.4,442.5,849.6,168.2,166.2,156.2
2022-01-03 00:00:00+00:00,134.1,67.8,325.1,822.4,145.1,130.1,143.1
2022-01-03 01:00:00+00:00,155,141.2,349.7,808.8,152,149,162
2022-01-03 02:00:00+00:00,148,89.4,434.1,760.5,141,146,167
2022-01-03 03:00:00+00:00,145.1,96.3,314.9,791.7,149.1,140.1,135.1
2022-01-03 04:00:00+00:00,158,77.7,440.6,785.6,152,142,149
2022-01-03 05:00:00+00:00,162.2,119,422.5,813.2,162.2,179.2,150.2
2022-01-03 06:00:00+00:00,161.3,84.4,651,743.4,169.3,167.3,157.3
2022-01-03 07:00:00+00:00,143.6,90.2,800,778.5,153.6,132.6,135.6
2022-01-03 08:00:00+00:00,149,504.1,580.9,816.2,148,133,141
2022-01-03 09:00:00+00:00,155.4,524.2,733.3,771.9,161.4,160.4,163.4
2022-01-03 10:00:00+00:00,161.9,513.4,610.6,763.4,166.9,164.9,147.9
2022-01-03 11:00:00+00:00,147.4,519,664.3,768.3,147.4,129.4,143.4
2022-01-03 12:00:00+00:00,150.3,567.1,714.4,789.1,149.3,146.3,169.3
2022-01-03 13:00:00+00:00,141.2,513.3,717.9,704.8,146.2,139.2,146.2
2022-01-03 14:00:00+00:00,140.3,467.6,716,770.2,141.3,146.3,142.3
2022-01-03 15:00:00+00:00,160.4,544.2,710.6,838.1,147.4,153.4,142.4
2022-01-03 16:00:00+00:00,165.9,431.7,655.1,813,148.9,145.9,150.9
2022-01-03 17:00:00+00:00,151.6,445.9,688.5,816.8,162.6,151.6,139.6
2022-01-03 18:00:00+00:00,162.4,516.8,702.2,726.9,155.4,174.4,167.4
2022-01-03 19:00:00+00:00,156.1,102.3,713.7,783.4,156.1,152.1,164.1
2022-01-03 20:00:00+00:00,146,120.2,695.4,795.4,153,165,163
2022-01-03 21:00:00+00:00,156.1,122.1,751.1,818.6,138.1,148.1,139.1
2022-01-03 22:00:00+00:00,167.9,99.4,706.5,844.4,152.9,186.9,162.9
2022-01-03 23:00:00+00:00,152.2,105.8,437.1,838.2,162.2,139.2,147.2
2022-01-04 00:00:00+00:00,168.3,106.6,417.8,776.6,164.3,181.3,164.3
2022-01-04 01:00:00+00:00,126.5,54.6,396.8,777.5,124.5,121.5,138.5
2022-01-04 02:00:00+00:00,160.9,68.2,348.5,856.5,144.9,176.9,168.9
2022-01-04 03:00:00+00:00,153.6,87.9,434.3,785.6,140.6,170.6,163.6
2022-01-04 04:00:00+00:00,149.8,88.8,415.2,756.7,157.8,131.8,161.8
2022-01-04 05:00:00+00:00,153.7,76,323.6,791.7,139.7,139.7,141.7
2022-01-04 06:00:00+00:00,133,115,757,854,131,125,119
2022-01-04 07:00:00+00:00,150.7,100,676.5,763.8,146.7,147.7,141.7
2022-01-04 08:00:00+00:00,156.5,536,750,782.8,167.5,138.5,142.5
2022-01-04 09:00:00+00:00,167.7,496.5,674.2,765.5,173.7,155.7,181.7
2022-01-04 10:00:00+00:00,147.8,485.6,724.7,838.3,142.8,133.8,144.8
2022-01-04 11:00:00+00:00,144.9,521.8,663.7,811.5,129.9,136.9,135.9
2022-01-04 12:00:00+00:00,148,462.9,665.5,837,162,161,135
2022-01-04 13:00:00+00:00,162.2,482.8,590.4,862.6,148.2,154.2,176.2
2022-01-04 14:00:00+00:00,156.4,506.1,735.8,739.5,163.4,175.4,156.4
2022-01-04 15:00:00+00:00,147.9,475,725.9,769.6,143.9,157.9,145.9
2022-01-04 16:00:00+00:00,158.3,533.5,729.9,782.7,146.3,155.3,138.3
2022-01-04 17:00:00+00:00,154.2,593.5,719.3,802.8,152.2,144.2,152.2
2022-01-04 18:00:00+00:00,162.9,462.3,646.6,820.2,162.9,154.9,152.9
2022-01-04 19:00:00+00:00,146.3,114.4,767.6,780.3,143.3,162.3,145.3
2022-01-04 20:00:00+00:00,150.1,140.3,769.5,772.3,154.1,164.1,159.1
2022-01-04 21:00:00+00:00,149.4,101,644.8,838.3,140.4,152.4,157.4
2022-01-04 22:00:00+00:00,138.8,83.7,737.2,821.8,129.8,140.8,149.8
2022-01-04 23:00:00+00:00,156.4,103.8,372.4,812.6,166.4,174.4,170.4
2022-01-05 00:00:00+00:00,156.1,118.8,457.6,714.2,154.1,148.1,170.1
2022-01-05 01:00:00+00:00,153.6,112.4,371,848.3,139.6,156.6,158.6
2022-01-05 02:00:00+00:00,151.2,154.9,362.4,807.4,171.2,146.2,150.2
2022-01-05 03:00:00+00:00,139.4,85.7,451.3,793.5,149.4,148.4,137.4
2022-01-05 04:00:00+00:00,149.4,105,413,767.2,140.4,154.4,161.4
2022-01-05 05:00:00+00:00,150.2,131,505.6,774.7,142.2,163.2,150.2
2022-01-05 06:00:00+00:00,145.7,129.7,574.3,764.4,134.7,151.7,148.7
2022-01-05 07:00:00+00:00,152.1,61,775.9,720.1,166.1,137.1,172.1
2022-01-05 08:00:00+00:00,157.8,563.6,560.8,767.3,171.8,149.8,175.8
