datetime,temperature_2m,surface_pressure,wind_speed_100m,wind_direction_100m
2019-01-01 00:00:00+01:00,5.457,1000.2202,4.801042,268.80655
2019-01-01 00:15:00+01:00,5.5695,1000.208925,4.775781,269.104912
2019-01-01 00:30:00+01:00,5.682,1000.19765,4.750521,269.403275
2019-01-01 00:45:00+01:00,5.7945,1000.186375,4.72526,269.701638
2019-01-01 01:00:00+01:00,5.907,1000.1751,4.7,270
2019-01-01 01:15:00+01:00,5.9445,1000.0583,4.72916,268.809112
2019-01-01 01:30:00+01:00,5.982,999.9415,4.758319,267.618225
2019-01-01 01:45:00+01:00,6.0195,999.8247,4.787478,266.427338
2019-01-01 02:00:00+01:00,6.057,999.7079,4.816638,265.23645
2019-01-01 02:15:00+01:00,6.0695,999.5398,4.968253,260.731727
2019-01-01 02:30:00+01:00,6.082,999.3717,5.119868,256.227005
2019-01-01 02:45:00+01:00,6.0945,999.2036,5.271483,251.722282
2019-01-01 03:00:00+01:00,6.107,999.0355,5.423099,247.21756
2019-01-01 03:15:00+01:00,6.032,998.8817,5.60396,247.41953
2019-01-01 03:30:00+01:00,5.957,998.7279,5.784821,247.6215
2019-01-01 03:45:00+01:00,5.882,998.5741,5.965682,247.82347
2019-01-01 04:00:00+01:00,5.807,998.4203,6.146544,248.02544
2019-01-01 04:15:00+01:00,5.7195,998.2166,6.271985,248.228748
2019-01-01 04:30:00+01:00,5.632,998.0129,6.397426,248.432055
2019-01-01 04:45:00+01:00,5.5445,997.8092,6.522867,248.635362
2019-01-01 05:00:00+01:00,5.457,997.6055,6.648308,248.83867
2019-01-01 05:15:00+01:00,5.432,997.43316,6.710325,249.91438
2019-01-01 05:30:00+01:00,5.407,997.26082,6.772342,250.99009
2019-01-01 05:45:00+01:00,5.382,997.08848,6.834359,252.0658
2019-01-01 06:00:00+01:00,5.357,996.91614,6.896376,253.14151
2019-01-01 06:15:00+01:00,5.2945,996.76373,6.961486,253.50723
2019-01-01 06:30:00+01:00,5.232,996.61132,7.026595,253.87295
2019-01-01 06:45:00+01:00,5.1695,996.45891,7.091705,254.23867
2019-01-01 07:00:00+01:00,5.107,996.3065,7.156815,254.60439
2019-01-01 07:15:00+01:00,5.1445,996.18979,7.181792,255.470968
2019-01-01 07:30:00+01:00,5.182,996.07308,7.206768,256.337545
2019-01-01 07:45:00+01:00,5.2195,995.95637,7.231744,257.204122
2019-01-01 08:00:00+01:00,5.257,995.83966,7.256721,258.0707
2019-01-01 08:15:00+01:00,5.282,995.818282,7.522955,260.01938
2019-01-01 08:30:00+01:00,5.307,995.796905,7.789189,261.96806
2019-01-01 08:45:00+01:00,5.332,995.775528,8.055424,263.91674
2019-01-01 09:00:00+01:00,5.357,995.75415,8.321658,265.86542
2019-01-01 09:15:00+01:00,5.3445,995.486412,8.455402,265.278322
2019-01-01 09:30:00+01:00,5.332,995.218675,8.589147,264.691225
2019-01-01 09:45:00+01:00,5.3195,994.950938,8.722892,264.104128
2019-01-01 10:00:00+01:00,5.307,994.6832,8.856636,263.51703
2019-01-01 10:15:00+01:00,5.3195,994.58781,8.742626,264.967262
2019-01-01 10:30:00+01:00,5.332,994.49242,8.628615,266.417495
2019-01-01 10:45:00+01:00,5.3445,994.39703,8.514605,267.867728
2019-01-01 11:00:00+01:00,5.357,994.30164,8.400595,269.31796
2019-01-01 11:15:00+01:00,5.357,994.228992,8.450446,269.48847
2019-01-01 11:30:00+01:00,5.357,994.156345,8.500297,269.65898
2019-01-01 11:45:00+01:00,5.357,994.083698,8.550149,269.82949
2019-01-01 12:00:00+01:00,5.357,994.01105,8.6,270
2019-01-01 12:15:00+01:00,5.507,993.882952,8.525151,269.827438
2019-01-01 12:30:00+01:00,5.657,993.754855,8.450302,269.654875
2019-01-01 12:45:00+01:00,5.807,993.626757,8.375452,269.482313
2019-01-01 13:00:00+01:00,5.957,993.49866,8.300603,269.30975
2019-01-01 13:15:00+01:00,5.8945,993.418888,8.552602,268.86662
2019-01-01 13:30:00+01:00,5.832,993.339115,8.804601,268.42349
2019-01-01 13:45:00+01:00,5.7695,993.259342,9.0566,267.98036
2019-01-01 14:00:00+01:00,5.707,993.17957,9.308598,267.53723
2019-01-01 14:15:00+01:00,5.5945,993.021502,9.464516,266.997963
2019-01-01 14:30:00+01:00,5.482,992.863435,9.620434,266.458695
2019-01-01 14:45:00+01:00,5.3695,992.705368,9.776352,265.919427
2019-01-01 15:00:00+01:00,5.257,992.5473,9.93227,265.38016
2019-01-01 15:15:00+01:00,5.207,992.468925,10.024324,266.39606
2019-01-01 15:30:00+01:00,5.157,992.39055,10.116378,267.41196
2019-01-01 15:45:00+01:00,5.107,992.312175,10.208432,268.42786
2019-01-01 16:00:00+01:00,5.057,992.2338,10.300486,269.44376
2019-01-01 16:15:00+01:00,5.0445,992.159725,10.203519,270.30562
2019-01-01 16:30:00+01:00,5.032,992.08565,10.106552,271.16748
2019-01-01 16:45:00+01:00,5.0195,992.011575,10.009585,272.02934
2019-01-01 17:00:00+01:00,5.007,991.9375,9.912618,272.8912
2019-01-01 17:15:00+01:00,5.057,991.822175,9.867697,273.347065
2019-01-01 17:30:00+01:00,5.107,991.70685,9.822776,273.80293
2019-01-01 17:45:00+01:00,5.157,991.591525,9.777855,274.258795
2019-01-01 18:00:00+01:00,5.207,991.4762,9.732934,274.71466
2019-01-01 18:15:00+01:00,5.2445,991.456275,9.893563,276.173935
2019-01-01 18:30:00+01:00,5.282,991.43635,10.054192,277.63321
2019-01-01 18:45:00+01:00,5.3195,991.416425,10.214822,279.092485
2019-01-01 19:00:00+01:00,5.357,991.3965,10.375451,280.55176
2019-01-01 19:15:00+01:00,5.332,991.417925,10.845083,284.45052
2019-01-01 19:30:00+01:00,5.307,991.43935,11.314715,288.34928
2019-01-01 19:45:00+01:00,5.282,991.460775,11.784347,292.24804
2019-01-01 20:00:00+01:00,5.257,991.4822,12.253979,296.1468
2019-01-01 20:15:00+01:00,5.0195,991.479125,11.943324,298.17695
2019-01-01 20:30:00+01:00,4.782,991.47605,11.632668,300.2071
2019-01-01 20:45:00+01:00,4.5445,991.472975,11.322012,302.23725
2019-01-01 21:00:00+01:00,4.307,991.4699,11.011357,304.2674
2019-01-01 21:15:00+01:00,4.082,991.49235,10.998271,302.634075
2019-01-01 21:30:00+01:00,3.857,991.5148,10.985186,301.00075
2019-01-01 21:45:00+01:00,3.632,991.53725,10.9721,299.367425
2019-01-01 22:00:00+01:00,3.407,991.5597,10.959014,297.7341
2019-01-01 22:15:00+01:00,3.2445,991.613485,10.824664,297.195945
2019-01-01 22:30:00+01:00,3.082,991.66727,10.690313,296.65779
2019-01-01 22:45:00+01:00,2.9195,991.721055,10.555962,296.119635
2019-01-01 23:00:00+01:00,2.757,991.77484,10.421612,295.58148
2019-01-01 23:15:00+01:00,2.632,991.85704,10.538914,296.769135
2019-01-01 23:30:00+01:00,2.507,991.93924,10.656216,297.95679
2019-01-01 23:45:00+01:00,2.382,992.02144,10.773519,299.144445
2019-01-02 00:00:00+01:00,2.257,992.10364,10.890821,300.3321
2019-01-02 00:15:00+01:00,2.082,992.155718,10.684314,299.072065
2019-01-02 00:30:00+01:00,1.907,992.207795,10.477806,297.81203
2019-01-02 00:45:00+01:00,1.732,992.259872,10.271298,296.551995
2019-01-02 01:00:00+01:00,1.557,992.31195,10.064791,295.29196
2019-01-02 01:15:00+01:00,1.532,992.381662,10.333934,296.070258
2019-01-02 01:30:00+01:00,1.507,992.451375,10.603078,296.848555
2019-01-02 01:45:00+01:00,1.482,992.521087,10.872222,297.626852
2019-01-02 02:00:00+01:00,1.457,992.5908,11.141365,298.40515
2019-01-02 02:15:00+01:00,1.4945,992.76455,10.957105,300.108282
2019-01-02 02:30:00+01:00,1.532,992.9383,10.772845,301.811415
2019-01-02 02:45:00+01:00,1.5695,993.11205,10.588586,303.514548
2019-01-02 03:00:00+01:00,1.607,993.2858,10.404326,305.21768
2019-01-02 03:15:00+01:00,1.507,993.201488,10.255412,302.270435
2019-01-02 03:30:00+01:00,1.407,993.117175,10.106498,299.32319
2019-01-02 03:45:00+01:00,1.307,993.032862,9.957584,296.375945
2019-01-02 04:00:00+01:00,1.207,992.94855,9.80867,293.4287
2019-01-02 04:15:00+01:00,1.307,992.960298,10.00662,294.4545
2019-01-02 04:30:00+01:00,1.407,992.972045,10.204571,295.4803
2019-01-02 04:45:00+01:00,1.507,992.983792,10.402521,296.5061
2019-01-02 05:00:00+01:00,1.607,992.99554,10.600472,297.5319
2019-01-02 05:15:00+01:00,1.6945,993.02998,10.349442,299.03005
2019-01-02 05:30:00+01:00,1.782,993.06442,10.098413,300.5282
2019-01-02 05:45:00+01:00,1.8695,993.09886,9.847383,302.02635
2019-01-02 06:00:00+01:00,1.957,993.1333,9.596354,303.5245
2019-01-02 06:15:00+01:00,1.982,993.257275,9.692887,305.68282
2019-01-02 06:30:00+01:00,2.007,993.38125,9.78942,307.84114
2019-01-02 06:45:00+01:00,2.032,993.505225,9.885952,309.99946
2019-01-02 07:00:00+01:00,2.057,993.6292,9.982485,312.15778
2019-01-02 07:15:00+01:00,1.9695,993.788225,9.873938,312.550098
2019-01-02 07:30:00+01:00,1.882,993.94725,9.765392,312.942415
2019-01-02 07:45:00+01:00,1.7945,994.106275,9.656845,313.334732
2019-01-02 08:00:00+01:00,1.707,994.2653,9.548298,313.72705
2019-01-02 08:15:00+01:00,1.707,994.410525,9.336224,314.394562
2019-01-02 08:30:00+01:00,1.707,994.55575,9.124149,315.062075
2019-01-02 08:45:00+01:00,1.707,994.700975,8.912074,315.729588
2019-01-02 09:00:00+01:00,1.707,994.8462,8.7,316.3971
2019-01-02 09:15:00+01:00,1.882,994.915137,8.632279,315.206188
2019-01-02 09:30:00+01:00,2.057,994.984075,8.564558,314.015275
2019-01-02 09:45:00+01:00,2.232,995.053012,8.496837,312.824362
2019-01-02 10:00:00+01:00,2.407,995.12195,8.429116,311.63345
2019-01-02 10:15:00+01:00,2.5195,995.159312,8.559302,311.114995
2019-01-02 10:30:00+01:00,2.632,995.196675,8.689488,310.59654
2019-01-02 10:45:00+01:00,2.7445,995.234038,8.819675,310.078085
2019-01-02 11:00:00+01:00,2.857,995.2714,8.949861,309.55963
2019-01-02 11:15:00+01:00,2.7695,995.237025,9.20338,312.549668
2019-01-02 11:30:00+01:00,2.682,995.20265,9.456898,315.539705
2019-01-02 11:45:00+01:00,2.5945,995.168275,9.710416,318.529742
2019-01-02 12:00:00+01:00,2.507,995.1339,9.963935,321.51978
2019-01-02 12:15:00+01:00,2.4695,995.22631,10.078834,318.819942
2019-01-02 12:30:00+01:00,2.432,995.31872,10.193734,316.120105
2019-01-02 12:45:00+01:00,2.3945,995.41113,10.308633,313.420268
2019-01-02 13:00:00+01:00,2.357,995.50354,10.423532,310.72043
2019-01-02 13:15:00+01:00,2.257,995.612755,10.234258,316.929338
2019-01-02 13:30:00+01:00,2.157,995.72197,10.044984,323.138245
2019-01-02 13:45:00+01:00,2.057,995.831185,9.855711,329.347152
2019-01-02 14:00:00+01:00,1.957,995.9404,9.666437,335.55606
2019-01-02 14:15:00+01:00,2.057,996.09739,9.748077,337.14894
2019-01-02 14:30:00+01:00,2.157,996.25438,9.829717,338.74182
2019-01-02 14:45:00+01:00,2.257,996.41137,9.911357,340.3347
2019-01-02 15:00:00+01:00,2.357,996.56836,9.992997,341.92758
2019-01-02 15:15:00+01:00,2.1695,996.788255,9.660966,341.732375
2019-01-02 15:30:00+01:00,1.982,997.00815,9.328934,341.53717
2019-01-02 15:45:00+01:00,1.7945,997.228045,8.996902,341.341965
2019-01-02 16:00:00+01:00,1.607,997.44794,8.664871,341.14676
2019-01-02 16:15:00+01:00,1.3945,997.688955,8.613186,339.749085
2019-01-02 16:30:00+01:00,1.182,997.92997,8.561502,338.35141
2019-01-02 16:45:00+01:00,0.9695,998.170985,8.509817,336.953735
2019-01-02 17:00:00+01:00,0.757,998.412,8.458132,335.55606
2019-01-02 17:15:00+01:00,0.6195,998.5892,8.436743,334.336952
2019-01-02 17:30:00+01:00,0.482,998.7664,8.415353,333.117845
2019-01-02 17:45:00+01:00,0.3445,998.9436,8.393964,331.898738
2019-01-02 18:00:00+01:00,0.207,999.1208,8.372574,330.67963
2019-01-02 18:15:00+01:00,0.0695,999.27366,8.353828,327.859415
2019-01-02 18:30:00+01:00,-0.068,999.42652,8.335082,325.0392
2019-01-02 18:45:00+01:00,-0.2055,999.57938,8.316336,322.218985
2019-01-02 19:00:00+01:00,-0.343,999.73224,8.29759,319.39877
2019-01-02 19:15:00+01:00,-0.243,999.865205,8.273345,320.156912
2019-01-02 19:30:00+01:00,-0.143,999.99817,8.2491,320.915055
2019-01-02 19:45:00+01:00,-0.043,1000.131135,8.224855,321.673198
2019-01-02 20:00:00+01:00,0.057,1000.2641,8.20061,322.43134
2019-01-02 20:15:00+01:00,-0.118,1000.364075,8.030783,322.872645
2019-01-02 20:30:00+01:00,-0.293,1000.46405,7.860956,323.31395
2019-01-02 20:45:00+01:00,-0.468,1000.564025,7.69113,323.755255
2019-01-02 21:00:00+01:00,-0.643,1000.664,7.521303,324.19656
2019-01-02 21:15:00+01:00,-0.7805,1000.720025,7.289651,322.973562
2019-01-02 21:30:00+01:00,-0.918,1000.77605,7.057999,321.750565
2019-01-02 21:45:00+01:00,-1.0555,1000.832075,6.826347,320.527568
2019-01-02 22:00:00+01:00,-1.193,1000.8881,6.594695,319.30457
2019-01-02 22:15:00+01:00,-1.368,1000.866875,6.573903,317.606028
2019-01-02 22:30:00+01:00,-1.543,1000.84565,6.553112,315.907485
2019-01-02 22:45:00+01:00,-1.718,1000.824425,6.53232,314.208943
2019-01-02 23:00:00+01:00,-1.893,1000.8032,6.511528,312.5104
2019-01-02 23:15:00+01:00,-1.9555,1000.9165,6.616058,313.132825
2019-01-02 23:30:00+01:00,-2.018,1001.0298,6.720588,313.75525
2019-01-02 23:45:00+01:00,-2.0805,1001.1431,6.825117,314.377675
2019-01-03 00:00:00+01:00,-2.143,1001.2564,6.929646,315.0001
2019-01-03 00:15:00+01:00,-1.993,1001.395562,6.944554,312.229437
2019-01-03 00:30:00+01:00,-1.843,1001.534725,6.959462,309.458775
2019-01-03 00:45:00+01:00,-1.693,1001.673888,6.97437,306.688112
2019-01-03 01:00:00+01:00,-1.543,1001.81305,6.989278,303.91745
2019-01-03 01:15:00+01:00,-1.5055,1001.986955,7.017663,304.252197
2019-01-03 01:30:00+01:00,-1.468,1002.16086,7.046047,304.586945
2019-01-03 01:45:00+01:00,-1.4305,1002.334765,7.074432,304.921692
2019-01-03 02:00:00+01:00,-1.393,1002.50867,7.102817,305.25644
2019-01-03 02:15:00+01:00,-1.443,1002.671902,7.147998,307.553285
2019-01-03 02:30:00+01:00,-1.493,1002.835135,7.19318,309.85013
2019-01-03 02:45:00+01:00,-1.543,1002.998368,7.238361,312.146975
2019-01-03 03:00:00+01:00,-1.593,1003.1616,7.283543,314.44382
2019-01-03 03:15:00+01:00,-1.6805,1003.1752,7.236072,315.726365
2019-01-03 03:30:00+01:00,-1.768,1003.1888,7.188601,317.00891
2019-01-03 03:45:00+01:00,-1.8555,1003.2024,7.14113,318.291455
2019-01-03 04:00:00+01:00,-1.943,1003.216,7.093659,319.574
2019-01-03 04:15:00+01:00,-2.193,1003.161225,6.950045,319.36337
2019-01-03 04:30:00+01:00,-2.443,1003.10645,6.80643,319.15274
2019-01-03 04:45:00+01:00,-2.693,1003.051675,6.662816,318.94211
2019-01-03 05:00:00+01:00,-2.943,1002.9969,6.519202,318.73148
2019-01-03 05:15:00+01:00,-3.093,1002.978475,6.486665,319.068522
2019-01-03 05:30:00+01:00,-3.243,1002.96005,6.454128,319.405565
2019-01-03 05:45:00+01:00,-3.393,1002.941625,6.42159,319.742608
2019-01-03 06:00:00+01:00,-3.543,1002.9232,6.389053,320.07965
2019-01-03 06:15:00+01:00,-3.618,1003.059037,6.227495,321.291282
2019-01-03 06:30:00+01:00,-3.693,1003.194875,6.065937,322.502915
2019-01-03 06:45:00+01:00,-3.768,1003.330712,5.904379,323.714548
2019-01-03 07:00:00+01:00,-3.843,1003.46655,5.742821,324.92618
2019-01-03 07:15:00+01:00,-3.9055,1003.4588,5.40541,323.367502
2019-01-03 07:30:00+01:00,-3.968,1003.45105,5.067999,321.808825
2019-01-03 07:45:00+01:00,-4.0305,1003.4433,4.730588,320.250147
