date,temperature_2m,relative_humidity_2m,surface_pressure,shortwave_radiation,diffuse_radiation,direct_normal_irradiance,terrestrial_radiation,sun_elevation_angle
2021-12-31 23:00:00+00:00,9.057,94.09372,993.3634,0.0,0.0,0.0,0.0,0.0
2022-01-01 00:00:00+00:00,10.457,93.21295,993.61566,0.0,0.0,0.0,0.0,0.0
2022-01-01 01:00:00+00:00,10.457,93.52669,994.00323,0.0,0.0,0.0,0.0,0.0
2022-01-01 02:00:00+00:00,10.457,93.21295,994.19696,0.0,0.0,0.0,0.0,0.0
2022-01-01 03:00:00+00:00,9.707,95.08096,994.6952,0.0,0.0,0.0,0.0,0.0
2022-01-01 04:00:00+00:00,9.907,94.45005,994.62067,0.0,0.0,0.0,0.0,0.0
2022-01-01 05:00:00+00:00,9.857,94.44791,994.518,0.0,0.0,0.0,0.0,0.0
2022-01-01 06:00:00+00:00,9.507,95.07336,995.0605,0.0,0.0,0.0,0.0,0.0
2022-01-01 07:00:00+00:00,8.957,96.35012,995.48334,0.0,0.0,0.0,0.0,4.932564629196264
2022-01-01 08:00:00+00:00,8.607,96.01335,995.83203,8.0,6.0,25.200207,52.211445,10.983132734577069
2022-01-01 09:00:00+00:00,9.157,94.41787,995.9904,61.0,45.0,113.62725,199.18602,15.176110703202312
2022-01-01 10:00:00+00:00,9.757,92.54866,996.44476,95.0,71.0,104.69025,324.28497,17.15336610671973
2022-01-01 11:00:00+00:00,10.157,91.63922,996.4891,79.0,79.0,0.0,398.60126,16.7199653855443
2022-01-01 12:00:00+00:00,11.557,82.93653,996.2559,97.0,90.0,23.741438,417.07465,13.920302484614169
2022-01-01 13:00:00+00:00,11.657,78.57425,995.7825,177.0,82.0,355.09207,378.44766,9.019709078441906
2022-01-01 14:00:00+00:00,11.557,80.44856,995.5777,113.0,64.0,242.90582,285.3526,2.4076889252494027
2022-01-01 15:00:00+00:00,9.557,90.98158,995.25995,49.0,31.0,154.914,144.12967,0.0
2022-01-01 16:00:00+00:00,8.807,92.810074,994.8856,3.0,3.0,0.0,20.077528,0.0
2022-01-01 17:00:00+00:00,7.657,94.3527,994.2724,0.0,0.0,0.0,0.0,0.0
2022-01-01 18:00:00+00:00,7.257,94.01091,994.0336,0.0,0.0,0.0,0.0,0.0
2022-01-01 19:00:00+00:00,7.007,93.999275,994.00507,0.0,0.0,0.0,0.0,0.0
2022-01-01 20:00:00+00:00,6.507,95.28614,993.6581,0.0,0.0,0.0,0.0,0.0
2022-01-01 21:00:00+00:00,6.307,95.609314,993.3447,0.0,0.0,0.0,0.0,0.0
2022-01-01 22:00:00+00:00,6.257,95.27689,992.85474,0.0,0.0,0.0,0.0,0.0
2022-01-01 23:00:00+00:00,5.907,94.93333,992.62146,0.0,0.0,0.0,0.0,0.0
2022-01-02 00:00:00+00:00,5.507,95.581604,992.28516,0.0,0.0,0.0,0.0,0.0
2022-01-02 01:00:00+00:00,5.307,95.90879,991.5846,0.0,0.0,0.0,0.0,0.0
2022-01-02 02:00:00+00:00,5.507,95.581604,991.22,0.0,0.0,0.0,0.0,0.0
2022-01-02 03:00:00+00:00,5.207,95.90556,990.5079,0.0,0.0,0.0,0.0,0.0
2022-01-02 04:00:00+00:00,4.957,95.89746,990.09204,0.0,0.0,0.0,0.0,0.0
2022-01-02 05:00:00+00:00,4.607,95.2152,989.2776,0.0,0.0,0.0,0.0,0.0
2022-01-02 06:00:00+00:00,4.707,94.221176,989.1919,0.0,0.0,0.0,0.0,0.0
2022-01-02 07:00:00+00:00,4.657,93.55859,988.70215,0.0,0.0,0.0,0.0,4.954295799543544
2022-01-02 08:00:00+00:00,5.057,91.950745,988.167,9.0,9.0,0.0,52.485012,11.023173706003092
2022-01-02 09:00:00+00:00,6.057,89.16625,987.98987,48.0,47.0,7.075054,199.94054,15.23669593202861
2022-01-02 10:00:00+00:00,6.757,86.46897,987.5848,69.0,69.0,0.0,325.47842,17.234833583095508
2022-01-02 11:00:00+00:00,7.957,85.3993,986.94434,117.0,109.0,28.274084,400.25122,16.820311120535806
2022-01-02 12:00:00+00:00,8.607,86.05985,986.6293,151.0,124.0,91.11871,419.1676,14.035699713942378
2022-01-02 13:00:00+00:00,8.557,85.169754,985.46124,46.0,46.0,0.0,380.9402,9.145745923662759
2022-01-02 14:00:00+00:00,10.057,76.99519,984.8517,46.0,42.0,19.635279,288.17413,2.5404790712227765
2022-01-02 15:00:00+00:00,10.007,70.84276,984.94293,55.0,30.0,213.12225,147.18854,0.0
2022-01-02 16:00:00+00:00,9.807,71.299194,985.1147,3.0,2.0,17.041351,21.6856,0.0
2022-01-02 17:00:00+00:00,9.257,76.60015,985.3448,0.0,0.0,0.0,0.0,0.0
2022-01-02 18:00:00+00:00,8.957,81.48069,985.11786,0.0,0.0,0.0,0.0,0.0
2022-01-02 19:00:00+00:00,8.907,82.89266,985.4032,0.0,0.0,0.0,0.0,0.0
2022-01-02 20:00:00+00:00,9.257,81.5206,985.15106,0.0,0.0,0.0,0.0,0.0
2022-01-02 21:00:00+00:00,9.957,78.58746,985.13116,0.0,0.0,0.0,0.0,0.0
2022-01-02 22:00:00+00:00,9.757,79.37349,984.8188,0.0,0.0,0.0,0.0,0.0
2022-01-02 23:00:00+00:00,9.907,78.04038,984.3509,0.0,0.0,0.0,0.0,0.0
2022-01-03 00:00:00+00:00,10.657,74.74276,983.27,0.0,0.0,0.0,0.0,0.0
2022-01-03 01:00:00+00:00,10.207,80.260475,982.9304,0.0,0.0,0.0,0.0,0.0
2022-01-03 02:00:00+00:00,9.507,84.11295,983.6286,0.0,0.0,0.0,0.0,0.0
2022-01-03 03:00:00+00:00,8.657,90.60944,983.9225,0.0,0.0,0.0,0.0,0.0
2022-01-03 04:00:00+00:00,8.157001,88.419624,984.35126,0.0,0.0,0.0,0.0,0.0
2022-01-03 05:00:00+00:00,7.757,89.30497,984.40344,0.0,0.0,0.0,0.0,0.0
2022-01-03 06:00:00+00:00,8.357,89.046936,984.5671,0.0,0.0,0.0,0.0,0.0
2022-01-03 07:00:00+00:00,7.457,93.0549,984.7577,0.0,0.0,0.0,0.0,4.983116605708716
2022-01-03 08:00:00+00:00,7.557,90.8435,985.0594,10.0,9.0,12.528421,52.85953,11.070567688097839
2022-01-03 09:00:00+00:00,7.757,93.07095,985.0815,65.0,46.0,133.79466,200.88632,15.304798073647504
2022-01-03 10:00:00+00:00,8.607,86.95259,984.9825,113.0,75.0,164.46,326.85788,17.323804183104485
2022-01-03 11:00:00+00:00,9.157,85.82173,984.55896,176.0,99.0,270.90427,402.0783,16.927925481469387
2022-01-03 12:00:00+00:00,8.707,86.07015,984.2183,141.0,98.0,144.33838,421.4272,14.157933127164256
2022-01-03 13:00:00+00:00,8.757,84.60689,983.4489,127.0,108.0,70.0689,383.58734,9.278068267401977
2022-01-03 14:00:00+00:00,8.757,84.60689,982.7708,56.0,55.0,4.858899,291.1375,2.6789814925866438
2022-01-03 15:00:00+00:00,8.607,80.87148,982.1733,17.0,17.0,0.0,150.37604,0.0
2022-01-03 16:00:00+00:00,8.157001,84.24675,981.73584,2.0,2.0,0.0,23.358463,0.0
2022-01-03 17:00:00+00:00,8.107,85.1205,981.246,0.0,0.0,0.0,0.0,0.0
2022-01-03 18:00:00+00:00,8.107,88.41528,980.1805,0.0,0.0,0.0,0.0,0.0
2022-01-03 19:00:00+00:00,8.457,84.865456,979.8316,0.0,0.0,0.0,0.0,0.0
2022-01-03 20:00:00+00:00,8.357,85.442375,978.94867,0.0,0.0,0.0,0.0,0.0
2022-01-03 21:00:00+00:00,8.257,89.038704,978.5505,0.0,0.0,0.0,0.0,0.0
2022-01-03 22:00:00+00:00,8.257,90.58092,978.163,0.0,0.0,0.0,0.0,0.0
2022-01-03 23:00:00+00:00,8.257,90.89218,977.29126,0.0,0.0,0.0,0.0,0.0
2022-01-04 00:00:00+00:00,7.457,93.69744,975.7499,0.0,0.0,0.0,0.0,0.0
2022-01-04 01:00:00+00:00,7.557,94.34832,974.30804,0.0,0.0,0.0,0.0,0.0
2022-01-04 02:00:00+00:00,8.107,93.40883,973.2062,0.0,0.0,0.0,0.0,0.0
2022-01-04 03:00:00+00:00,8.707,92.48863,971.8187,0.0,0.0,0.0,0.0,0.0
2022-01-04 04:00:00+00:00,9.457,90.35851,970.738,0.0,0.0,0.0,0.0,0.0
2022-01-04 05:00:00+00:00,9.407,90.97132,970.15125,0.0,0.0,0.0,0.0,0.0
2022-01-04 06:00:00+00:00,9.257,91.581894,968.7787,0.0,0.0,0.0,0.0,0.0
2022-01-04 07:00:00+00:00,9.507,90.362144,967.83704,0.0,0.0,0.0,0.0,5.019049764083917
2022-01-04 08:00:00+00:00,9.657,90.066765,967.272,1.0,1.0,0.0,53.330486,11.125319280391551
2022-01-04 09:00:00+00:00,10.057,90.09662,966.5401,11.0,11.0,0.0,202.02045,15.380402504493077
2022-01-04 10:00:00+00:00,10.307,90.42008,965.59796,13.0,13.0,0.0,328.42935,17.42024342165439
2022-01-04 11:00:00+00:00,10.807,89.54736,964.6827,23.0,23.0,0.0,404.1,17.04275413058336
2022-01-04 12:00:00+00:00,10.307,94.46711,963.4665,21.0,21.0,0.0,423.88098,14.28692969037354
2022-01-04 13:00:00+00:00,11.157,90.78502,962.5883,37.0,37.0,0.0,386.4264,9.416586998719794
2022-01-04 14:00:00+00:00,10.207,94.14573,963.55273,15.0,15.0,0.0,294.28912,2.8230946637099805
2022-01-04 15:00:00+00:00,6.957,93.02802,965.81525,17.0,17.0,0.0,153.74545,0.0
2022-01-04 16:00:00+00:00,6.257,93.31382,966.9003,1.0,1.0,0.0,25.124111,0.0
2022-01-04 17:00:00+00:00,5.357,93.92163,967.9624,0.0,0.0,0.0,0.0,0.0
2022-01-04 18:00:00+00:00,4.907,94.561295,968.6871,0.0,0.0,0.0,0.0,0.0
2022-01-04 19:00:00+00:00,4.757,93.563644,968.7671,0.0,0.0,0.0,0.0,0.0
2022-01-04 20:00:00+00:00,4.707,93.89064,968.8581,0.0,0.0,0.0,0.0,0.0
2022-01-04 21:00:00+00:00,4.557,93.883446,969.22864,0.0,0.0,0.0,0.0,0.0
2022-01-04 22:00:00+00:00,4.4570003,93.878654,969.6047,0.0,0.0,0.0,0.0,0.0
2022-01-04 23:00:00+00:00,4.357,93.87385,969.6905,0.0,0.0,0.0,0.0,0.0
2022-01-05 00:00:00+00:00,4.4570003,94.542015,969.31415,0.0,0.0,0.0,0.0,0.0
2022-01-05 01:00:00+00:00,4.2070003,94.531265,969.2861,0.0,0.0,0.0,0.0,0.0
2022-01-05 02:00:00+00:00,3.707,96.19601,969.0362,0.0,0.0,0.0,0.0,0.0
2022-01-05 03:00:00+00:00,4.357,93.543465,968.81903,0.0,0.0,0.0,0.0,0.0
2022-01-05 04:00:00+00:00,4.857,90.65208,968.48755,0.0,0.0,0.0,0.0,0.0
2022-01-05 05:00:00+00:00,5.307,89.10423,968.15063,0.0,0.0,0.0,0.0,0.0
2022-01-05 06:00:00+00:00,4.707,90.96166,968.95496,0.0,0.0,0.0,0.0,0.0
2022-01-05 07:00:00+00:00,3.557,92.51186,970.5684,0.0,0.0,0.0,0.0,5.062114444235476
2022-01-05 08:00:00+00:00,2.807,89.21343,972.516,4.0,4.0,0.0,53.89529,11.187429911941209
2022-01-05 09:00:00+00:00,2.357,89.49779,973.52966,34.0,34.0,0.0,203.33821,15.463491928014065
2022-01-05 10:00:00+00:00,2.407,85.70803,974.2128,108.0,57.0,218.49315,330.19037,17.5241147010331
