day,time,event,probability,duration,flow_rate,sigma_duration,sigma_flow_rate
0,00:00:00,shower,0.007,300,0.133,120,0.033
0,00:12:00,shower,0.007,300,0.133,120,0.033
0,00:24:00,shower,0.007,300,0.133,120,0.033
0,00:36:00,shower,0.007,300,0.133,120,0.033
0,00:48:00,shower,0.007,300,0.133,120,0.033
0,01:00:00,shower,0.007,300,0.133,120,0.033
0,01:11:00,shower,0.007,300,0.133,120,0.033
0,01:23:00,shower,0.007,300,0.133,120,0.033
0,01:36:00,shower,0.007,300,0.133,120,0.033
0,01:48:00,shower,0.007,300,0.133,120,0.033
0,02:00:00,shower,0.007,300,0.133,120,0.033
0,02:12:00,shower,0.007,300,0.133,120,0.033
0,02:23:00,shower,0.007,300,0.133,120,0.033
0,02:36:00,shower,0.007,300,0.133,120,0.033
0,02:47:00,shower,0.007,300,0.133,120,0.033
0,03:00:00,shower,0.007,300,0.133,120,0.033
0,03:12:00,shower,0.007,300,0.133,120,0.033
0,03:23:00,shower,0.007,300,0.133,120,0.033
0,03:36:00,shower,0.007,300,0.133,120,0.033
0,03:47:00,shower,0.007,300,0.133,120,0.033
0,04:00:00,shower,0.007,300,0.133,120,0.033
0,04:12:00,shower,0.007,300,0.133,120,0.033
0,04:24:00,shower,0.007,300,0.133,120,0.033
0,04:35:00,shower,0.007,300,0.133,120,0.033
0,04:47:00,shower,0.009,300,0.133,120,0.033
0,05:00:00,shower,0.015,300,0.133,120,0.033
0,05:12:00,shower,0.024,300,0.133,120,0.033
0,05:24:00,shower,0.037,300,0.133,120,0.033
0,05:35:00,shower,0.054,300,0.133,120,0.033
0,05:47:00,shower,0.074,300,0.133,120,0.033
0,06:00:00,shower,0.097,300,0.133,120,0.033
0,06:12:00,shower,0.121,300,0.133,120,0.033
0,06:24:00,shower,0.144,300,0.133,120,0.033
0,06:35:00,shower,0.163,300,0.133,120,0.033
0,06:47:00,shower,0.176,300,0.133,120,0.033
0,07:00:00,shower,0.18,300,0.133,120,0.033
0,07:12:00,shower,0.176,300,0.133,120,0.033
0,07:24:00,shower,0.163,300,0.133,120,0.033
0,07:35:00,shower,0.144,300,0.133,120,0.033
0,07:47:00,shower,0.121,300,0.133,120,0.033
0,08:00:00,shower,0.097,300,0.133,120,0.033
0,08:11:00,shower,0.074,300,0.133,120,0.033
0,08:24:00,shower,0.054,300,0.133,120,0.033
0,08:35:00,shower,0.037,300,0.133,120,0.033
0,08:48:00,shower,0.024,300,0.133,120,0.033
0,09:00:00,shower,0.015,300,0.133,120,0.033
0,09:11:00,shower,0.014,300,0.133,120,0.033
0,09:24:00,shower,0.015,300,0.133,120,0.033
0,09:35:00,shower,0.015,300,0.133,120,0.033
0,09:48:00,shower,0.015,300,0.133,120,0.033
0,10:00:00,shower,0.016,300,0.133,120,0.033
0,10:11:00,shower,0.016,300,0.133,120,0.033
0,10:24:00,shower,0.016,300,0.133,120,0.033
0,10:35:00,shower,0.016,300,0.133,120,0.033
0,10:48:00,shower,0.017,300,0.133,120,0.033
0,11:00:00,shower,0.017,300,0.133,120,0.033
0,11:11:00,shower,0.017,300,0.133,120,0.033
0,11:24:00,shower,0.017,300,0.133,120,0.033
0,11:35:00,shower,0.017,300,0.133,120,0.033
0,11:48:00,shower,0.017,300,0.133,120,0.033
0,12:00:00,shower,0.018,300,0.133,120,0.033
0,12:11:00,shower,0.018,300,0.133,120,0.033
0,12:24:00,shower,0.018,300,0.133,120,0.033
0,12:35:00,shower,0.018,300,0.133,120,0.033
0,12:48:00,shower,0.018,300,0.133,120,0.033
0,13:00:00,shower,0.018,300,0.133,120,0.033
0,13:11:00,shower,0.018,300,0.133,120,0.033
0,13:24:00,shower,0.018,300,0.133,120,0.033
0,13:35:00,shower,0.018,300,0.133,120,0.033
0,13:48:00,shower,0.018,300,0.133,120,0.033
0,14:00:00,shower,0.018,300,0.133,120,0.033
0,14:11:00,shower,0.018,300,0.133,120,0.033
0,14:24:00,shower,0.018,300,0.133,120,0.033
0,14:35:00,shower,0.018,300,0.133,120,0.033
0,14:48:00,shower,0.017,300,0.133,120,0.033
0,15:00:00,shower,0.017,300,0.133,120,0.033
0,15:11:00,shower,0.017,300,0.133,120,0.033
0,15:24:00,shower,0.017,300,0.133,120,0.033
0,15:35:00,shower,0.017,300,0.133,120,0.033
0,15:48:00,shower,0.016,300,0.133,120,0.033
0,16:00:00,shower,0.016,300,0.133,120,0.033
0,16:11:00,shower,0.016,300,0.133,120,0.033
0,16:23:00,shower,0.016,300,0.133,120,0.033
0,16:36:00,shower,0.015,300,0.133,120,0.033
0,16:48:00,shower,0.015,300,0.133,120,0.033
0,17:00:00,shower,0.015,300,0.133,120,0.033
0,17:11:00,shower,0.014,300,0.133,120,0.033
0,17:23:00,shower,0.016,300,0.133,120,0.033
0,17:36:00,shower,0.021,300,0.133,120,0.033
0,17:48:00,shower,0.026,300,0.133,120,0.033
0,18:00:00,shower,0.033,300,0.133,120,0.033
0,18:11:00,shower,0.04,300,0.133,120,0.033
0,18:23:00,shower,0.047,300,0.133,120,0.033
0,18:36:00,shower,0.054,300,0.133,120,0.033
0,18:48:00,shower,0.061,300,0.133,120,0.033
0,19:00:00,shower,0.066,300,0.133,120,0.033
0,19:11:00,shower,0.07,300,0.133,120,0.033
0,19:23:00,shower,0.072,300,0.133,120,0.033
0,19:36:00,shower,0.072,300,0.133,120,0.033
0,19:48:00,shower,0.07,300,0.133,120,0.033
0,20:00:00,shower,0.066,300,0.133,120,0.033
0,20:11:00,shower,0.061,300,0.133,120,0.033
0,20:23:00,shower,0.054,300,0.133,120,0.033
0,20:36:00,shower,0.047,300,0.133,120,0.033
0,20:48:00,shower,0.04,300,0.133,120,0.033
0,21:00:00,shower,0.033,300,0.133,120,0.033
0,21:11:00,shower,0.026,300,0.133,120,0.033
0,21:23:00,shower,0.021,300,0.133,120,0.033
0,21:36:00,shower,0.016,300,0.133,120,0.033
0,21:48:00,shower,0.011,300,0.133,120,0.033
0,22:00:00,shower,0.008,300,0.133,120,0.033
0,22:11:00,shower,0.007,300,0.133,120,0.033
0,22:23:00,shower,0.007,300,0.133,120,0.033
0,22:36:00,shower,0.007,300,0.133,120,0.033
