Day,Hour,EventType,Probability,Duration [min],Flow rate [L/min],Sigma duration [min],Sigma flow rate [L/min],Probability_day
0,00:00,Shower,0.008,5,8,2,2,0.9
0,00:12,Shower,0.008,5,8,2,2,0.9
0,00:24,Shower,0.008,5,8,2,2,0.9
0,00:36,Shower,0.008,5,8,2,2,0.9
0,00:48,Shower,0.008,5,8,2,2,0.9
0,01:00,Shower,0.008,5,8,2,2,0.9
0,01:11,Shower,0.008,5,8,2,2,0.9
0,01:23,Shower,0.008,5,8,2,2,0.9
0,01:36,Shower,0.008,5,8,2,2,0.9
0,01:48,Shower,0.008,5,8,2,2,0.9
0,02:00,Shower,0.008,5,8,2,2,0.9
0,02:12,Shower,0.008,5,8,2,2,0.9
0,02:23,Shower,0.008,5,8,2,2,0.9
0,02:36,Shower,0.008,5,8,2,2,0.9
0,02:47,Shower,0.008,5,8,2,2,0.9
0,03:00,Shower,0.008,5,8,2,2,0.9
0,03:12,Shower,0.008,5,8,2,2,0.9
0,03:23,Shower,0.008,5,8,2,2,0.9
0,03:36,Shower,0.008,5,8,2,2,0.9
0,03:47,Shower,0.008,5,8,2,2,0.9
0,04:00,Shower,0.008,5,8,2,2,0.9
0,04:12,Shower,0.008,5,8,2,2,0.9
0,04:24,Shower,0.008,5,8,2,2,0.9
0,04:35,Shower,0.008,5,8,2,2,0.9
0,04:47,Shower,0.01008,5,8,2,2,0.9
0,05:00,Shower,0.01696,5,8,2,2,0.9
0,05:12,Shower,0.02704,5,8,2,2,0.9
0,05:24,Shower,0.0412,5,8,2,2,0.9
0,05:35,Shower,0.05968,5,8,2,2,0.9
0,05:47,Shower,0.08224,5,8,2,2,0.9
0,06:00,Shower,0.10792,5,8,2,2,0.9
0,06:12,Shower,0.13472,5,8,2,2,0.9
0,06:24,Shower,0.16016,5,8,2,2,0.9
0,06:35,Shower,0.1812,5,8,2,2,0.9
0,06:47,Shower,0.19512,5,8,2,2,0.9
0,07:00,Shower,0.2,5,8,2,2,0.9
0,07:12,Shower,0.19512,5,8,2,2,0.9
0,07:24,Shower,0.1812,5,8,2,2,0.9
0,07:35,Shower,0.16016,5,8,2,2,0.9
0,07:47,Shower,0.13472,5,8,2,2,0.9
0,08:00,Shower,0.10792,5,8,2,2,0.9
0,08:11,Shower,0.08224,5,8,2,2,0.9
0,08:24,Shower,0.05968,5,8,2,2,0.9
0,08:35,Shower,0.0412,5,8,2,2,0.9
0,08:48,Shower,0.02704,5,8,2,2,0.9
0,09:00,Shower,0.01696,5,8,2,2,0.9
0,09:11,Shower,0.01592,5,8,2,2,0.9
0,09:24,Shower,0.01624,5,8,2,2,0.9
0,09:35,Shower,0.01664,5,8,2,2,0.9
0,09:48,Shower,0.01696,5,8,2,2,0.9
0,10:00,Shower,0.01728,5,8,2,2,0.9
0,10:11,Shower,0.0176,5,8,2,2,0.9
0,10:24,Shower,0.01784,5,8,2,2,0.9
0,10:35,Shower,0.01816,5,8,2,2,0.9
0,10:48,Shower,0.0184,5,8,2,2,0.9
0,11:00,Shower,0.01864,5,8,2,2,0.9
0,11:11,Shower,0.01888,5,8,2,2,0.9
0,11:24,Shower,0.01904,5,8,2,2,0.9
0,11:35,Shower,0.01928,5,8,2,2,0.9
0,11:48,Shower,0.01944,5,8,2,2,0.9
0,12:00,Shower,0.0196,5,8,2,2,0.9
0,12:11,Shower,0.01968,5,8,2,2,0.9
0,12:24,Shower,0.01984,5,8,2,2,0.9
0,12:35,Shower,0.01992,5,8,2,2,0.9
0,12:48,Shower,0.01992,5,8,2,2,0.9
0,13:00,Shower,0.02,5,8,2,2,0.9
0,13:11,Shower,0.02,5,8,2,2,0.9
0,13:24,Shower,0.02,5,8,2,2,0.9
0,13:35,Shower,0.02,5,8,2,2,0.9
0,13:48,Shower,0.01992,5,8,2,2,0.9
0,14:00,Shower,0.01984,5,8,2,2,0.9
0,14:11,Shower,0.01976,5,8,2,2,0.9
0,14:24,Shower,0.0196,5,8,2,2,0.9
0,14:35,Shower,0.01952,5,8,2,2,0.9
0,14:48,Shower,0.01936,5,8,2,2,0.9
0,15:00,Shower,0.0192,5,8,2,2,0.9
0,15:11,Shower,0.01896,5,8,2,2,0.9
0,15:24,Shower,0.01872,5,8,2,2,0.9
0,15:35,Shower,0.01856,5,8,2,2,0.9
0,15:48,Shower,0.01824,5,8,2,2,0.9
0,16:00,Shower,0.018,5,8,2,2,0.9
0,16:11,Shower,0.01776,5,8,2,2,0.9
0,16:23,Shower,0.01744,5,8,2,2,0.9
0,16:36,Shower,0.01712,5,8,2,2,0.9
0,16:48,Shower,0.0168,5,8,2,2,0.9
0,17:00,Shower,0.01648,5,8,2,2,0.9
0,17:11,Shower,0.01608,5,8,2,2,0.9
0,17:23,Shower,0.01728,5,8,2,2,0.9
0,17:36,Shower,0.02288,5,8,2,2,0.9
0,17:48,Shower,0.02936,5,8,2,2,0.9
0,18:00,Shower,0.03664,5,8,2,2,0.9
0,18:11,Shower,0.04448,5,8,2,2,0.9
0,18:23,Shower,0.05256,5,8,2,2,0.9
0,18:36,Shower,0.0604,5,8,2,2,0.9
0,18:48,Shower,0.06752,5,8,2,2,0.9
0,19:00,Shower,0.07336,5,8,2,2,0.9
0,19:11,Shower,0.07752,5,8,2,2,0.9
0,19:23,Shower,0.07976,5,8,2,2,0.9
0,19:36,Shower,0.07976,5,8,2,2,0.9
0,19:48,Shower,0.07752,5,8,2,2,0.9
0,20:00,Shower,0.07336,5,8,2,2,0.9
0,20:11,Shower,0.06752,5,8,2,2,0.9
0,20:23,Shower,0.0604,5,8,2,2,0.9
0,20:36,Shower,0.05256,5,8,2,2,0.9
0,20:48,Shower,0.04448,5,8,2,2,0.9
0,21:00,Shower,0.03664,5,8,2,2,0.9
0,21:11,Shower,0.02936,5,8,2,2,0.9
0,21:23,Shower,0.02288,5,8,2,2,0.9
0,21:36,Shower,0.01728,5,8,2,2,0.9
0,21:48,Shower,0.01272,5,8,2,2,0.9
0,22:00,Shower,0.00912,5,8,2,2,0.9
0,22:11,Shower,0.008,5,8,2,2,0.9
0,22:23,Shower,0.008,5,8,2,2,0.9
0,22:36,Shower,0.008,5,8,2,2,0.9
0,22:48,Shower,0.008,5,8,2,2,0.9
0,23:00,Shower,0.008,5,8,2,2,0.9
0,23:11,Shower,0.008,5,8,2,2,0.9
0,23:23,Shower,0.008,5,8,2,2,0.9
0,23:36,Shower,0.008,5,8,2,2,0.9
0,23:48,Shower,0.008,5,8,2,2,0.9
0,00:00,Bath,0.005,10,14,2,2,0.5
0,00:12,Bath,0.005,10,14,2,2,0.5
0,00:24,Bath,0.005,10,14,2,2,0.5
0,00:36,Bath,0.005,10,14,2,2,0.5
0,00:48,Bath,0.005,10,14,2,2,0.5
0,01:00,Bath,0.005,10,14,2,2,0.5
0,01:11,Bath,0.005,10,14,2,2,0.5
0,01:23,Bath,0.005,10,14,2,2,0.5
0,01:36,Bath,0.005,10,14,2,2,0.5
0,01:48,Bath,0.005,10,14,2,2,0.5
0,02:00,Bath,0.005,10,14,2,2,0.5
0,02:12,Bath,0.005,10,14,2,2,0.5
0,02:23,Bath,0.005,10,14,2,2,0.5
0,02:36,Bath,0.005,10,14,2,2,0.5
0,02:47,Bath,0.005,10,14,2,2,0.5
0,03:00,Bath,0.005,10,14,2,2,0.5
0,03:12,Bath,0.005,10,14,2,2,0.5
